name,logFC,P.Value
TAF6L,0.962363089,0.001489248
IL1RAPL2,1.693606979,0.001490552
PTH2R,1.512197124,0.001528106
OPN4,1.914769598,0.001531743
SCN8A,1.662930224,0.001536621
RPS6P9,1.647897114,0.001544536
CCDC80,-2.018997572,0.001549741
LINC00898,1.973350667,0.001570686
RFX8,2.156002744,0.001616801
IDNK,1.157876994,0.001621747
SLC26A10,1.342817826,0.00165101
ICA1,1.508519771,0.00167773
CPNE4,1.444620979,0.001688844
RSPH4A,1.646300703,0.001699541
MAP4K3-DT,1.097484564,0.001705961
FCGR1A,1.679819989,0.001713101
SLC6A7,1.366633424,0.001719493
DSN1,1.383176036,0.001722077
RCOR3,1.336078057,0.001738832
DNAAF4,1.041006159,0.001778136
FAM66E,1.842577922,0.001786424
RNF148,1.602057956,0.001791192
YPEL4,1.353640856,0.001792769
CFAP221,1.665819034,0.001815833
LYRM9,1.588319559,0.001839939
XRCC6,1.014653233,0.001844859
ZNF554,1.052304336,0.00186527
TEKT3,1.332047799,0.001882422
M6PR,0.947354463,0.001882705
SV2C,1.509790181,0.001884375
SLC7A4,1.038374671,0.001899578
RPS3AP29,1.69672615,0.001902013
ZC2HC1A,1.285176305,0.001906919
TUBB3,1.172041758,0.001916861
RNF165,1.139390579,0.00192169
LOC101928266,1.563583596,0.001930265
TRANK1,1.600961438,0.001933877
MCM4,1.089911183,0.001937763
RBM11,1.887481042,0.001937788
DUSP4,1.068985001,0.001941355
SYT2,1.575142545,0.001948371
CDK7,1.295312685,0.001952408
TGFB2-OT1,-3.143103634,0.001971088
LOC101928701,1.755032889,0.001983274
TMEM233,1.594592452,0.001992439
LINC01118,1.332970512,0.00200104
RPSAP69,1.834524648,0.002008241
PDE10A,1.420860079,0.002018299
MYBPHL,1.325725607,0.002070842
UMODL1,2.039280753,0.002112657
LOC112268389,1.40019475,0.002114774
FAM66B,1.05208513,0.002126066
OGFOD3,0.853384636,0.002179522
PTPN5,0.976186019,0.002184944
ZNF449,1.397244234,0.00219706
LNCOC1,1.237221143,0.002198659
TOX2,0.912640274,0.002221768
FAM228A,1.191166778,0.0022245
PARP2,1.421018579,0.002231429
FLT4,-1.238189535,0.002245186
HHIP,1.224167858,0.002256033
UNC5D,1.078827948,0.002270095
HTR3B,1.253854492,0.002271502
RBM3,1.328109335,0.002296966
TMEM234,1.038009445,0.002300226
COMMD4,0.874406192,0.002317898
SPIN2B,1.398062812,0.002318061
RAPGEF4-AS1,1.551378815,0.002335111
ZNF502,1.239740454,0.002349449
DUS3L,0.848530304,0.002364362
XRCC3,0.70166006,0.002366718
AGAP12P,1.897367227,0.002367923
REM2,1.190959268,0.002373977
SIDT1,1.380769148,0.002384479
HS1BP3-IT1,1.117555501,0.002401458
CIP2A,1.964192072,0.002404778
CCPG1,1.125369443,0.002406729
VAMP1,2.432818579,0.002413059
MDH1B,1.809868941,0.002420019
DIRAS3,1.494956579,0.002420775
NAP1L5,1.609181467,0.002433799
CORO2A,0.939144878,0.002456258
LINC02872,1.428529453,0.002469449
TMEM132E-DT,1.688240141,0.002472465
PRSS27,1.015044904,0.002478774
IGSF8,0.987577551,0.002527947
C12orf43,0.985007235,0.002528812
CIRBP,0.948965811,0.002531222
ZBTB41,2.750561397,0.002539425
FGF9,1.539950191,0.00254785
ZNF112,1.860827711,0.002554077
FRMD6-AS1,1.270549052,0.00256149
LIMD2,0.793846093,0.002584592
QPCTL,0.838600429,0.002593838
CCKBR,1.365379297,0.002619341
SH2D5,1.018291925,0.002635682
ICAM5,0.907126479,0.002637149
TRMT9B,0.967535332,0.002652302
MRPL30,1.058464848,0.002665733
FER1L6-AS2,1.601717697,0.002666747
LINC02687,1.101475772,0.002690832
CHRM1,1.189679656,0.002697706
MYO16,1.027282354,0.002698878
TMEM171,1.333615452,0.002705593
ZNF441,1.386056152,0.002706985
HMGN2,1.005040244,0.002714353
ERICH3,1.52292743,0.00271798
THSD4-AS1,1.61325737,0.002730251
CYP2R1,1.032128283,0.002733651
NCR3LG1,1.424886854,0.002735017
PCDHA14,1.585612726,0.00275145
SEMA3A,1.276300664,0.002754455
LINC02217,1.518665511,0.002756559
KCNH1,1.303616713,0.002771066
TTC12,1.249060306,0.002797262
ARL4D,1.164375529,0.002814094
ARID3C,1.300878837,0.002836197
TTC23L,1.683834991,0.002837577
GAD1,1.256950691,0.002839343
NEUROD6,1.791718791,0.002843028
TTF2,1.003974536,0.002844971
FYB2,1.242578249,0.002849857
NRN1,1.373720141,0.0028711
CPNE6,0.872810609,0.002898273
GLYCTK,1.002547084,0.002917572
TBL3,0.771702697,0.002923885
CHGB,1.691964052,0.002926699
IPO8P1,2.04564082,0.002938339
RPL7AP43,1.468394116,0.002956508
SYN1,0.959584562,0.002969487
TBL2,0.730296793,0.002990158
U2AF1L4,0.925164207,0.003019524
PCYOX1L,1.645825875,0.003019581
LINC00658,1.318930743,0.003042544
TIGD3,1.038826506,0.003043368
TNNI3K,1.643923923,0.003044052
NLE1,0.754766732,0.003049254
PITRM1,0.923419401,0.003050685
RBFOX2,1.174571327,0.003051222
PRPF19,1.027002789,0.00309574
NRXN3,1.027977758,0.003147234
MIR3117,1.470679207,0.003153337
MAGEE1,1.113958677,0.003153446
PYGB,0.776640217,0.003168649
FGF12,1.394024197,0.003185415
TUSC3,1.068389504,0.003187993
CNPY2,0.833969819,0.003200059
ALOX12B,1.626773595,0.003205406
THSD7B,1.446248033,0.003212143
LINC02449,1.002207045,0.003215518
FAM163B,0.698079319,0.003215635
CPSF4,0.829418219,0.003219501
WDR54,1.131304849,0.003223388
ENC1,1.009603287,0.00322353
CFAP70,1.031488968,0.003233987
FBXO10,2.333059922,0.003254697
AGBL4-IT1,1.508897736,0.003263509
EFHD2,0.682116328,0.003269539
HHIP-AS1,1.353383656,0.003277708
CCDC71,1.023189449,0.003279344
LOC101927636,1.107182276,0.003290021
PHYHIP,0.857382447,0.003296117
IDH3G,1.001161356,0.003313827
DLX5,1.076404213,0.003314822
CEBPB-AS1,0.834059965,0.003322297
GSS,0.835259131,0.003339412
CLGN,1.788863447,0.003348669
PMS2,1.066610492,0.00335391
ABCF2P1,1.774510424,0.003379961
RPL36P7,1.394350314,0.003381087
PSEN2,0.910747619,0.003392897
ZNF222,1.118775707,0.00340048
MTR,1.081123509,0.003425727
VSTM5,1.170324925,0.003430866
PRRT2,0.886640664,0.003439261
GLMN,1.522834322,0.003443442
TUBB2A,1.056901377,0.003452559
RUSF1,0.88823929,0.003467645
SEZ6L2,0.999825125,0.003472316
NHLRC1,1.103941364,0.003481222
RGS7,1.30933116,0.003482673
VAX1,1.090238615,0.003483626
PRKN,1.049073003,0.003502771
ALDOA,0.94476224,0.003518668
OBSL1,0.801824855,0.003531
RAB3A,1.27136603,0.003550215
BEX1,1.476690179,0.003556429
SNCB,1.24379474,0.003561409
NEU1,-1.011898209,0.003572054
LYPD5,0.767556337,0.003572956
NMRAL1,0.958330129,0.003577724
OCA2,1.176196315,0.003582898
SNAPC4,0.91546381,0.003584474
SMIM8,0.992332279,0.00358725
MCCC2,0.912088031,0.003591499
PTK2B,0.983703654,0.003592388
PACSIN1,0.850878578,0.003597107
ANKMY1,0.821994863,0.003602563
PCDHA5,0.923245008,0.003605202
CDH18,1.51140628,0.003636344
LINC00680-GUSBP4,1.062819797,0.003677203
ENTPD3,1.205162257,0.003684621
LINC02033,1.528774711,0.003701844
SLC22A17,0.883516171,0.003708931
GVINP1,0.904512799,0.003720281
LIG3,0.897063819,0.003723624
PLAGL1,1.119739764,0.003723807
LINC01892,1.452029393,0.003733136
ROBO2,1.364115925,0.003744397
CDC20P1,1.356166464,0.003751944
ATP8B4,1.049139884,0.003753341
LOC317727,1.35738863,0.003759296
STAG3L5P-PVRIG2P-PILRB,0.917564313,0.003766092
CSTL1,1.109796275,0.003771898
FARSB,1.152366633,0.003791475
SLC32A1,1.10186809,0.003801082
DNAJC5G,2.055294408,0.003801393
KIAA0895L,0.807207336,0.003803835
SCFD2,0.985001544,0.003804254
NPEPL1,0.799582511,0.003819515
ZSCAN30,0.978424282,0.003844035
NMNAT2,1.264052407,0.003847523
MIR1299,1.569727681,0.003858351
CLSTN3,1.084952594,0.003862205
SMC4,0.703343556,0.003866102
THCAT155,1.808008872,0.003878938
DYNC2LI1,1.246157026,0.003900088
KIAA0319,1.019659729,0.003900575
C1QL3,0.880232968,0.003924083
SOWAHB,1.311852869,0.003935034
LINC01204,1.454257324,0.003974674
GSTA4,1.367083338,0.003977669
NAV3,0.889488393,0.004044436
RINT1,0.898835727,0.00404572
NAA80,1.056984481,0.004048212
ALKBH8,1.426746388,0.004082474
GTF3C2,0.861741434,0.004092669
ST6GAL2,0.90000174,0.004097865
CAP2,1.294506899,0.00411064
TRIM46,0.922766916,0.004112231
CCDC184,1.146141907,0.004128597
ZC4H2,1.065746353,0.004131287
GTF2H3,1.156869897,0.004144275
SLC6A17,0.877041682,0.004156501
FAM161B,0.814664306,0.004156618
PKIA-AS1,1.1530437,0.004168659
RAB37,1.011247168,0.004171345
SCART1,1.202195126,0.004183959
RNF128,1.270451736,0.004202466
KCNK10,0.983894146,0.004205209
GAD2,1.163839936,0.004231052
NECAB1,1.18856741,0.004234976
SULT1A1,0.845184339,0.004258525
STMN3,0.619964481,0.004264534
KDM4A,1.016548587,0.004279563
NDST2,0.654570866,0.004308192
CYP4X1,1.229422091,0.004314375
SAMD4A,-0.789802344,0.004331858
ZRANB3,1.159782969,0.004331982
ZNF385D,1.211883864,0.004335126
ERLEC1,0.838046956,0.004355481
OVGP1,1.555931194,0.004367912
EXT1,1.566073201,0.004384494
CDH7,1.08828587,0.004389802
CHKB-DT,1.027420922,0.004415795
ATP1A3,1.215154946,0.00442547
LOC101928416,0.960370717,0.004430541
HGSNAT,1.069340917,0.00444707
MECR,1.069926685,0.004451423
SUGP2,0.899258746,0.004452808
NANOS1,-0.924102312,0.004463515
MICU3,1.055026887,0.004467347
STMN4,1.270807511,0.004470976
TRIM3,0.806557405,0.00447402
STMND1,0.856021601,0.004475782
GPR158-AS1,1.289837447,0.004485357
ALDH1A3,1.280832156,0.004493113
NSUN5P2,0.882017454,0.004498781
UCHL1,1.153695257,0.004522435
DMKN,1.129292248,0.004524916
SUPV3L1,1.027756736,0.004530968
RNU5A-1,1.410941242,0.004549681
BARX2,1.086431236,0.004581333
CCT4P2,1.312308454,0.004595224
LINC02388,1.147198406,0.004619542
HYLS1,1.203402622,0.004635814
SLC22A9,1.134493418,0.004637815
QTRT1,0.934809994,0.004646421
TRIM9,1.143569839,0.004647353
PEMT,0.844755288,0.00467705
SRI,1.326925774,0.004682386
KCNF1,0.755148773,0.004701476
CFAP69,1.321563642,0.00470175
FOXJ1,-1.534084601,0.004715571
SLIT2,1.215883732,0.004717418
TAGLN3,1.427223898,0.004722394
SUSD4,0.981130567,0.004740222
FAM111B,1.057238973,0.004740366
MRPL55,0.927601592,0.004741731
ZNF707,0.716649287,0.004750003
DYNC1I1,1.010972568,0.004765428
PNOC,1.668105665,0.004767414
SYN3,1.152083658,0.004777901
LOC100506274,2.038219106,0.00478861
GPRASP1,1.085972763,0.004790358
LOC107986257,1.177660735,0.004809878
PLPPR5-AS1,1.482227927,0.004811954
SPRYD7,1.002113906,0.004812121
ENO2,1.167527274,0.00482385
CNR2,0.938824708,0.004824516
TCTE1,1.099352711,0.004829164
LOC105371664,1.539479354,0.004852027
LOC100506271,1.441949578,0.004854528
VWA5B2,1.232593078,0.004862869
SNX4,0.845983385,0.004865819
FRS3,0.719349139,0.004866753
PAK1,1.301673502,0.00491379
UNC13C,1.456398622,0.004914977
MCRS1,0.749496984,0.004917505
METTL15,0.866140652,0.004917986
ZEB2-AS1,1.84082482,0.004926549
RPS27AP12,1.266257343,0.004957509
DLGAP1-AS3,1.159946223,0.004960466
LOC101928627,1.326960785,0.004966634
CES4A,1.30566335,0.004970669
NOL6,0.847651483,0.004973223
USP11,0.921616277,0.004976798
ABCC12,1.820680696,0.004982228
RTKN2,1.430580119,0.004991359
ASPM,1.199753662,0.005001978
NSG2,1.14863608,0.005024631
PCDH11X,1.313906999,0.005050022
CENATAC,1.18256605,0.005073135
NRSN2,0.69364782,0.005084787
SRSF2,0.851376341,0.005089855
NKX6-3,1.128766198,0.005092924
GRM5P1,1.41202401,0.005096694
RPS6KL1,0.920227618,0.005119241
FECH,1.113624835,0.005122272
EBP,0.857269923,0.005124136
LINC02028,1.236156762,0.005134965
NXPH1,1.053109664,0.005158406
POLR3A,0.844507036,0.005170084
ELAVL4,1.222556648,0.005171082
CCDC89,1.391210759,0.005174137
UBA7,0.794102273,0.005192876
LOC730098,1.124978779,0.005198828
ZNF25,1.053437686,0.005208347
FAM81A,1.247826456,0.005216714
GPR149,1.442444355,0.005218798
EXD3,0.887218326,0.005225387
ZSCAN1,1.519563869,0.005235453
HTR5A,1.250544835,0.005257913
TFAP2E,1.145356575,0.005259983
FNDC5,1.145070151,0.005264093
ADAM11,0.974422344,0.005273252
PPAN,0.742540107,0.005276405
LOC100130881,1.691469975,0.005282458
GPATCH2,1.224999121,0.00529948
LOC100419755,1.703304226,0.005306518
PHF24,1.061465603,0.005319368
ZNF883,1.101230421,0.00533171
FCRLB,0.800181614,0.005333131
PLPP6,0.964690348,0.005334138
TRIM45,1.400256024,0.005342455
COQ4,0.839190903,0.005344359
PYROXD1,1.233776347,0.005358912
CNTNAP3,0.762858415,0.005363864
LRRC2,1.158551937,0.00536648
BUB1,1.330449745,0.005368355
ALG1L9P,1.081092852,0.005371114
APEX1,0.966530602,0.005388251
RAB3B,1.208886621,0.005390712
C5orf22,1.125992845,0.005394543
LRRC38,1.109292064,0.005397616
RIMS2,1.226349192,0.005412556
SUGT1P4-STRA6LP-CCDC180,1.028734441,0.00542068
PMS2P4,1.2895439,0.005428212
GABRG2,1.326350722,0.005433842
ZNF18,0.868241893,0.005435122
DHX36,1.115843552,0.005442591
CNTNAP5,1.155378642,0.005449324
EPHA7,1.069171948,0.005488323
MYL5,1.219634659,0.00550974
RRP7BP,0.771727051,0.005516067
CHCHD6,0.821754439,0.00552247
SLC29A1,0.984727984,0.005526231
THAP9-AS1,1.260851437,0.005527528
LOC101928304,1.031979367,0.005538113
NAP1L3,1.400149444,0.00555092
NEGR1,1.384124349,0.005558404
CPLX1,0.754866626,0.005571971
CAP1P1,1.628448351,0.005578578
SMYD4,0.735798199,0.005587329
CLEC2L,1.062106478,0.005595812
NOC4L,0.712527092,0.005597179
OSGEPL1,0.876217805,0.005598382
FKTN,1.115000913,0.005600849
ZNF256,1.093399344,0.005609753
ABRACL,1.277374307,0.005617593
NDUFV1,0.840455355,0.005619654
CACNA1E,1.016499521,0.005626842
ABCF2-H2BE1,1.641239968,0.005633357
C5orf34,1.356369513,0.005639017
SLC16A7,1.202875485,0.005639831
MEG9,1.604506434,0.005641006
PCDHB2,0.920679306,0.005641323
PNMA8B,0.908267747,0.00565236
ARFIP2,0.984182192,0.005652783
KCNQ3,0.868992898,0.00565422
LUC7L2,0.943011064,0.005673202
ACTR1B,0.760337895,0.005693753
STRBP,1.164310593,0.005694499
SLC27A2,1.722548296,0.00569674
CACNB1,0.875375716,0.005698831
SLC25A12,1.235828731,0.005723267
ANKRD31,1.232445627,0.005731509
ZNF136,1.01383899,0.005760878
RXFP1,1.706913514,0.005773792
TMEM54,-0.638860727,0.005787068
BLMH,0.883014221,0.005793953
PIGZ,0.95066694,0.00580048
TUBA8,1.003942448,0.005817516
FASTKD2,1.132134456,0.005820768
NOS2,1.076179534,0.005829456
SRSF5,1.081850957,0.005833009
ADCYAP1,1.643905136,0.0058405
FOXQ1,-0.765858772,0.005841065
IPO4,0.815659101,0.005845274
BMERB1,0.983109195,0.00585502
OPCML,1.353632699,0.005855461
SREBF1,0.83760588,0.005860732
TBCC,1.042103435,0.00588158
FHL1,0.949089478,0.005893102
FHAD1,1.290561234,0.00590338
BRINP2,0.85695986,0.005926386
PLK4,1.499546793,0.005934053
POP7,0.849214697,0.005946361
PTPRN2,0.741174128,0.005952551
IQGAP3,1.638057465,0.005960023
TRAPPC6B,0.909803655,0.005963126
STX1B,1.050304099,0.005963169
VWC2,0.943054848,0.005985995
UNC79,1.02624691,0.005998994
PLCXD3,1.144995299,0.006004011
PRR16,1.363293063,0.006022241
UBOX5,0.754778292,0.006033338
C11orf87,1.178774436,0.006045982
H2BC8,1.075122864,0.0060515
LOC100419932,1.039604547,0.006066486
FAM86DP,0.945591254,0.006071215
FMNL1-AS1,1.078448211,0.006079119
VIPR2,0.946228366,0.006088919
LINC02826,1.247742609,0.006103616
MELTF,0.777656872,0.006113062
TCEAL5,1.167718462,0.006142261
SHROOM2,0.754152973,0.006152548
ATP6V1E1,1.228025074,0.006160169
ABCC8,1.069669323,0.00616237
SLC35B4,1.011641726,0.006166662
TBC1D30,0.955835998,0.006170601
GPR158,1.056150058,0.006177072
RPS4XP5,1.441342315,0.006178448
MTMR1,1.05040619,0.006182358
ZNF534,1.185073065,0.00619105
ZNF26,0.82399986,0.006202281
IMMT,0.868759896,0.006203576
RGS4,1.573878161,0.006206448
SERPINB8,1.24051326,0.006210235
SYTL2,1.16121925,0.006223402
TMEM72-AS1,1.280273362,0.006227158
BBS1,0.781411958,0.00623282
MIX23,1.235908067,0.006244526
LOC101926908,1.458136151,0.006248029
BYSL,0.71653183,0.006264082
HAPLN1,1.537354035,0.006292998
FBXL2,1.020058234,0.006294864
C2orf16,1.509139007,0.006306443
RPL35P3,1.226458299,0.0063312
LINC00200,1.01446757,0.006350029
APOL2,0.94948893,0.006357823
NOS1,0.876782054,0.00637009
PKD1L2,1.041584137,0.006375508
NAP1L2,1.491482531,0.006378228
CAP2P1,1.00156013,0.006382227
NFX1,0.826531893,0.006382789
BEX3,0.988765209,0.006388066
EEF1DP4,1.355884525,0.006388206
MIEF2,0.838787553,0.006393441
ZKSCAN2,0.83675301,0.006396466
SEC22A,0.999043411,0.006401832
DOP1A,1.317989014,0.006429947
LOC100130370,1.154654301,0.006431979
SLC25A14,1.344082695,0.006434439
PDP1,1.127414087,0.006445618
HS3ST2,0.790685642,0.006448355
TRAPPC2B,1.102203504,0.006455042
MGAT4C,1.371233564,0.006490394
MYSM1,1.107531162,0.006494302
TDRD1,1.242474526,0.006498201
STAT4,1.553891747,0.00651356
WBP11P1,1.293945981,0.006516874
MYCBP2,0.814202929,0.006517193
ANKK1,1.384818326,0.006520949
CXXC4-AS1,1.404007931,0.006543204
DCLK1,1.193925931,0.006559595
TCEAL6,1.458361867,0.006565881
SMAD6,-0.995530996,0.006577636
UBE2Q2P6,1.263638031,0.006603021
PXDNL,1.193355124,0.006611736
ZNF461,0.91801063,0.006615267
STMN1,1.232481964,0.006617526
PATJ,0.949881154,0.006624301
CISD1,1.208550355,0.006646239
PNPO,1.033559388,0.006659491
GVQW3,1.444928711,0.006659547
CALY,0.907434866,0.006661464
TIMM23B,0.821936486,0.006681245
SPARCL1,1.562138963,0.006681553
RNF125,0.902234346,0.006709568
DALRD3,0.690741808,0.00671703
PRLHR,1.440348294,0.006719262
DMBT1L1,1.280248785,0.006722442
ESYT1,1.005607319,0.006732063
NPAT,0.840274367,0.006738477
EGR1,1.211699595,0.006742757
TRIP13,1.322623782,0.006749226
LINC00863,0.645287991,0.00675188
LRRC47,0.674065282,0.006754221
DPH6,1.472311618,0.00676285
DPYS,1.45858479,0.006771424
TBC1D2B,0.818689487,0.006771488
GALNT7,1.000386469,0.006784585
RASEF,1.013940873,0.00679035
C20orf203,1.268370153,0.006801556
TSR1,0.667908046,0.00680662
WASH9P,0.896275297,0.006809758
ZNF613,0.632300864,0.006823053
SMKR1,1.169451759,0.006828029
TPP2,0.945095093,0.00683094
TUBB4A,0.973712718,0.006834337
SNTG1,1.098449359,0.00683835
MAPK8IP2,0.638729568,0.006842343
RAD9A,0.717524969,0.006849729
POLR2A,0.745588577,0.006859402
ZNF214,1.199674245,0.006859419
LINC02145,1.183853204,0.006877442
RBFOX1,0.986667304,0.006879028
NIPSNAP1,0.824780075,0.006879599
EXOC3,0.727901177,0.006890939
COMMD7,0.910543711,0.006897515
SERPINI1,1.524034057,0.006939786
SCYL3,1.132023824,0.006946687
TUT1,0.643475077,0.006947125
SORCS3,0.887803092,0.006950382
CKMT1A,1.693547114,0.006961254
NRBP2,0.751048551,0.006968105
DICER1-AS1,0.840155508,0.006971622
OR2V2,0.881975344,0.006997279
TMEM168,1.116812753,0.007000221
KCNH5,1.430830442,0.007023816
ELAPOR1,1.006444293,0.007026986
NEFM,1.200600352,0.00702858
EXOC1,1.289377261,0.007036004
FCGR1CP,1.510383657,0.007059198
SYCP2,1.073379393,0.007062224
GDA,0.984670423,0.00706291
APBA2,0.808676126,0.007080827
POLR2J4,1.191877217,0.007082886
TTLL1-AS1,1.14449167,0.007095741
MTMR4,0.956647234,0.007098924
ODAD1,1.10316795,0.007103843
BCAT1,1.090256337,0.007112813
ETFDH,0.831919191,0.007123412
RETSAT,0.680428084,0.007130408
TFB1M,0.99809705,0.007137204
THYN1,1.010597718,0.007142978
CMTR1,0.797008059,0.007145038
FBXW7,1.055752918,0.007150496
FAHD2CP,1.028872085,0.007159818
ADGRG5,1.44760436,0.007160316
IQSEC3,0.682146647,0.007160378
PYCR3,0.916887013,0.007170071
LINC02288,1.110044353,0.007178396
FLRT3,1.479800408,0.007184641
CCDC22,0.67239006,0.007210958
AP1G2,1.064214554,0.007211616
ARSA,0.618765616,0.007216693
AFG3L2,0.895921977,0.007218522
MRPS25,0.824172496,0.007221346
JAK3,0.81289939,0.007227903
CERS5,0.744626438,0.007237151
SEMA4F,0.801590619,0.007243583
FMN1,1.091221947,0.007246584
MAP1LC3A,0.72335539,0.007260433
LINC01844,1.189685807,0.007281345
DDX55P1,1.673800559,0.007282042
LINC00113,1.179840768,0.007311489
PAX5,1.293020025,0.007313641
ADD2,0.901681879,0.007323604
EIF5A2,1.228156224,0.007326137
TOP3A,0.74482,0.007330396
LZTS1,0.667234198,0.007333746
ZNF528,0.849305038,0.007340396
NCALD,1.173365436,0.007371023
CRHR2,1.347688993,0.007399053
DLGAP1,1.010084207,0.007404054
DNM1L,1.048303867,0.007430054
CICP27,1.255437914,0.007432848
SLX4,0.898751629,0.007443632
TSPOAP1-AS1,0.897372663,0.007444421
TCEAL7,1.09247995,0.007454717
MIR7-3HG,1.169040345,0.007455937
HSPBP1,0.613900696,0.00745921
NUP35,1.247891404,0.00745924
PAK3,1.207100103,0.007463174
GALK1,0.761085446,0.007468458
RORB,1.163836525,0.00749354
ANKRD42,0.9522269,0.007509014
COL25A1,1.314889125,0.007516586
POLR1B,0.896488225,0.007516623
THNSL1,0.951022475,0.007526218
DUXAP8,1.192304629,0.007534609
RELL2,1.12766616,0.00755081
PPP3CA,1.199562099,0.007553503
PRDM5,0.752953742,0.007560028
EEF1A1P3,1.097249511,0.007567372
RPL13AP2,1.184284635,0.007567812
ERCC3,0.755785188,0.007573617
PTPRN,0.809450318,0.007588194
OR2AG2,1.171865673,0.007608595
TTC21A,1.10527555,0.007614839
STYK1,1.528561614,0.007616662
SDHAF4,0.964372767,0.007622905
GRIA3,1.292464654,0.007642726
PPME1,0.978411256,0.007650549
TUBG2,0.800802729,0.00765466
NECAP1,1.031299679,0.007657725
RNLS,1.199836736,0.00767367
DHX57,0.978892271,0.007676907
RTN1,0.95359569,0.007677127
OGFR,0.635504959,0.007693084
KCNB2,1.574208771,0.007696371
RHOT2,0.754230888,0.007705481
RRAD,-1.148740182,0.007709878
CCDC15,1.322753639,0.007716851
PTPRT-DT,1.280354957,0.007739402
FGF14,1.41050434,0.00774043
LOC112267986,0.963715152,0.007741405
DMXL2,1.094364367,0.007743989
KCNK4-TEX40,1.449338439,0.00775732
ZNF783,0.802141027,0.007765257
LHX6,0.77719859,0.007796457
LGALS8,1.131690367,0.007806451
NDUFA10,1.036805998,0.007813103
CDKN2AIPNL,0.710334678,0.007814783
PSMC4,0.802620398,0.00781489
TRPC1,0.928354232,0.007815358
ANKRD19P,1.480242272,0.007826619
NRIP3,1.026445718,0.007829239
LUC7L,0.895796419,0.007838931
STARD4-AS1,1.41791011,0.007839186
GPATCH1,0.699861193,0.007848962
FANCG,0.848126365,0.007870352
EID1,1.051347918,0.007879203
COPS4,1.135682422,0.007880068
ACP2,0.972585287,0.007885229
SLC25A37,0.735464577,0.007891851
LINC01128,0.848506897,0.007895849
LINC00491,1.057435214,0.007907904
TRIM67,1.20781857,0.007908034
SLC26A8,1.0596819,0.007910153
CHRNA3,1.247610581,0.007911478
CLSTN2,0.828613396,0.007912103
SANBR,0.943194241,0.007913021
VPS33B,0.874339132,0.007922261
ANAPC2,0.570069502,0.007922461
DFFBP1,1.192809028,0.007933264
THOC3,1.051742479,0.007935276
