,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0003002,BP,GO:0003002,regionalization,16/224,360/18903,6.58624264141034e-06,0.00156752574865566,0.00125584295779072,TBX1/SIX3/SIX2/SIX1/SFRP2/MDFI/IRX1/GSX2/FOXJ1/FOXH1/FOXB1/FEZF1/EOMES/DMRTA2/CFC1B/BMP4,16
GO:0042119,BP,GO:0042119,neutrophil activation,6/224,41/18903,8.23317679787181e-06,0.00174645744236634,0.00139919633343054,TNF/DNASE1L3/CXCL8/CD177/CCL5/ANXA1,6
GO:0002449,BP,GO:0002449,lymphocyte mediated immunity,16/224,367/18903,8.38635026346383e-06,0.00174645744236634,0.00139919633343054,TNF/SLAMF7/SLA2/SH2D1A/PRF1/KLRC4/IL6/IL18R1/HLA-DQB2/HLA-DOB/FOXJ1/CR1/CD96/CD2/C6/AZGP1,16
GO:0002443,BP,GO:0002443,leukocyte mediated immunity,18/224,463/18903,1.09617608639169e-05,0.00190390070441061,0.00152533398192497,TNF/SLAMF7/SLA2/SH2D1A/PRF1/KLRC4/IL6/IL18R1/HLA-DQB2/HLA-DOB/FOXJ1/DNASE1L3/CR1/CD96/CD2/CD177/C6/AZGP1,18
GO:1903037,BP,GO:1903037,regulation of leukocyte cell-cell adhesion,16/224,377/18903,1.17201991466315e-05,0.00190390070441061,0.00152533398192497,ZC3H12A/ZAP70/TNF/LCK/IL6/IGF2/HLA-DQB2/HLA-DOB/FOXJ1/CR1/CD44/CD3E/CCR7/CCL5/BMP4/ANXA1,16
GO:0032609,BP,GO:0032609,interferon-gamma production,9/224,119/18903,1.22758003242103e-05,0.00190390070441061,0.00152533398192497,ZC3H12A/TNF/IL1RL1/IL18R1/CR1/CD96/CD3E/CD2/CCR7,9
GO:0032649,BP,GO:0032649,regulation of interferon-gamma production,9/224,119/18903,1.22758003242103e-05,0.00190390070441061,0.00152533398192497,ZC3H12A/TNF/IL1RL1/IL18R1/CR1/CD96/CD3E/CD2/CCR7,9
GO:0002697,BP,GO:0002697,regulation of immune effector process,16/224,379/18903,1.25137583401015e-05,0.00190390070441061,0.00152533398192497,ZC3H12A/TNF/SH2D1A/KLRC4/IL6/IL18R1/FOXJ1/FCN3/FCN1/DNASE1L3/CR1/CD96/CD177/AZGP1/ANXA1/ANGPT1,16
GO:0030217,BP,GO:0030217,T cell differentiation,14/224,296/18903,1.25707729582933e-05,0.00190390070441061,0.00152533398192497,ZC3H12A/ZAP70/RORC/LCK/IL6/IL18R1/FOXJ1/EOMES/CR1/CD3E/CD2/CCR7/BMP4/ANXA1,14
GO:0036230,BP,GO:0036230,granulocyte activation,6/224,47/18903,1.85302399077352e-05,0.00262375393901251,0.00210205344959112,TNF/DNASE1L3/CXCL8/CD177/CCL5/ANXA1,6
GO:0031349,BP,GO:0031349,positive regulation of defense response,14/224,307/18903,1.88985877960085e-05,0.00262375393901251,0.00210205344959112,TNF/SH2D1A/S100A8/S100A12/PYHIN1/KLRC4/IL6/IL1RL1/GBP5/FCN3/FCN1/CCR7/CCL5/AGTR1,14
GO:1990868,BP,GO:1990868,response to chemokine,8/224,98/18903,2.16150923669956e-05,0.00277005722180113,0.0022192661636721,ZC3H12A/PPBP/CXCR6/CXCR1/CXCL8/CCR7/CCL5/CCL14,8
GO:1990869,BP,GO:1990869,cellular response to chemokine,8/224,98/18903,2.16150923669956e-05,0.00277005722180113,0.0022192661636721,ZC3H12A/PPBP/CXCR6/CXCR1/CXCL8/CCR7/CCL5/CCL14,8
GO:0050900,BP,GO:0050900,leukocyte migration,16/224,398/18903,2.28004205439087e-05,0.00278048277499699,0.0022276187266672,ZAP70/TNF/S100A8/S100A12/PPBP/LCK/JAML/IL6/FOXJ1/CXCR1/CXCL8/CD177/CCR7/CCL5/CCL14/ANXA1,16
GO:0022407,BP,GO:0022407,regulation of cell-cell adhesion,18/224,490/18903,2.33654014705629e-05,0.00278048277499699,0.0022276187266672,ZC3H12A/ZAP70/TNF/LCK/IL6/IGF2/HLA-DQB2/HLA-DOB/FUT3/FOXJ1/CR1/CD44/CD3E/CCR7/CCL5/BMP4/ANXA1/ADAMTS18,18
GO:1903039,BP,GO:1903039,positive regulation of leukocyte cell-cell adhesion,13/224,275/18903,2.59073681443368e-05,0.00297666726403207,0.00238479439615383,ZAP70/TNF/LCK/IL6/IGF2/HLA-DQB2/HLA-DOB/CR1/CD44/CD3E/CCR7/CCL5/ANXA1,13
GO:0002274,BP,GO:0002274,myeloid leukocyte activation,12/224,237/18903,2.71937964911653e-05,0.00302032433028542,0.00241977080356474,ZC3H12A/TNF/S100A12/IL6/IL1RL1/DNASE1L3/CXCL8/CST7/CD2/CD177/CCL5/ANXA1,12
GO:0022409,BP,GO:0022409,positive regulation of cell-cell adhesion,14/224,322/18903,3.19794059547797e-05,0.00343727034326858,0.00275381234299903,ZAP70/TNF/LCK/IL6/IGF2/HLA-DQB2/HLA-DOB/FUT3/CR1/CD44/CD3E/CCR7/CCL5/ANXA1,14
GO:0097529,BP,GO:0097529,myeloid leukocyte migration,12/224,242/18903,3.33713988844302e-05,0.0034747969088413,0.00278387722272747,S100A8/S100A12/PPBP/JAML/IL6/CXCR1/CXCL8/CD177/CCR7/CCL5/CCL14/ANXA1,12
GO:0002460,BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,15/224,375/18903,4.36560437660844e-05,0.00416488843904798,0.00333675272680409,ZC3H12A/TNF/SLA2/RORC/PRF1/IL6/IL1RL1/IL18R1/HLA-DQB2/HLA-DOB/FOXJ1/CR1/C6/AZGP1/ANXA1,15
GO:0033138,BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,8/224,108/18903,4.36971654615628e-05,0.00416488843904798,0.00333675272680409,TNF/SFRP2/LIF/IL6/IFNA13/CD44/CALCR/ANGPT1,8
GO:0016032,BP,GO:0016032,viral process,16/224,421/18903,4.48200515237527e-05,0.00416488843904798,0.00333675272680409,ZC3H12A/TNF/ST6GALNAC2/SLPI/MAN2A1/HSPA1B/GFI1/FCN3/FCN1/CXCR6/CXCL8/CR1/CCL5/APOBEC3D/APOBEC3A/AGTR1,16
GO:0050863,BP,GO:0050863,regulation of T cell activation,15/224,376/18903,4.4998794659582e-05,0.00416488843904798,0.00333675272680409,ZC3H12A/ZAP70/LCK/IL6/IGF2/HLA-DQB2/HLA-DOB/FOXJ1/CR1/CD3E/CD2/CCR7/CCL5/BMP4/ANXA1,15
GO:0070555,BP,GO:0070555,response to interleukin-1,9/224,141/18903,4.74247141411262e-05,0.00427078777076304,0.00342159530759306,ZC3H12A/ST18/IL6/IL1R2/CXCL8/CCL5/CCL14/ANXA1/ANKRD1,9
GO:0071347,BP,GO:0071347,cellular response to interleukin-1,8/224,111/18903,5.31687067772081e-05,0.00466205607846466,0.00373506483066481,ZC3H12A/ST18/IL6/IL1R2/CXCL8/CCL5/CCL14/ANKRD1,8
GO:0070098,BP,GO:0070098,chemokine-mediated signaling pathway,7/224,90/18903,9.69601405773053e-05,0.00828387662573285,0.00663673188944794,PPBP/CXCR6/CXCR1/CXCL8/CCR7/CCL5/CCL14,7
GO:0048525,BP,GO:0048525,negative regulation of viral process,7/224,91/18903,0.000103995866171627,0.00860509548640208,0.00689408041748773,TNF/SLPI/FCN3/FCN1/CCL5/APOBEC3D/APOBEC3A,7
GO:0001655,BP,GO:0001655,urogenital system development,14/224,360/18903,0.000105885028494143,0.00860509548640208,0.00689408041748773,SIX2/SIX1/LIF/LGR5/IRX1/ID3/FOXJ1/FOXB1/CRIP1/COL4A3/BMP4/ANXA1/ANGPT1/AGTR1,14
GO:0001656,BP,GO:0001656,metanephros development,7/224,92/18903,0.000111441343955396,0.00864729266913531,0.00692788722086534,SIX2/SIX1/LIF/IRX1/ID3/FOXJ1/BMP4,7
GO:0019058,BP,GO:0019058,viral life cycle,13/224,319/18903,0.000117652057152614,0.00864729266913531,0.00692788722086534,ZC3H12A/TNF/SLPI/HSPA1B/FCN3/FCN1/CXCR6/CXCL8/CR1/CCL5/APOBEC3D/APOBEC3A/AGTR1,13
GO:0060326,BP,GO:0060326,cell chemotaxis,13/224,319/18903,0.000117652057152614,0.00864729266913531,0.00692788722086534,S100A8/S100A12/PPBP/JAML/IL6/CXCR6/CXCR1/CXCL8/CCR7/CCL5/CCL14/ANXA1/AGTR1,13
GO:0033630,BP,GO:0033630,positive regulation of cell adhesion mediated by integrin,4/224,22/18903,0.000118742580841739,0.00864729266913531,0.00692788722086534,SFRP2/LIF/CD3E/CCL5,4
GO:1905330,BP,GO:1905330,regulation of morphogenesis of an epithelium,6/224,65/18903,0.000119380390990463,0.00864729266913531,0.00692788722086534,TNF/TBX2/SIX2/SIX1/LIF/BMP4,6
GO:0003206,BP,GO:0003206,cardiac chamber morphogenesis,8/224,126/18903,0.000129963498280973,0.00886210935323291,0.00709999030763843,TBX5/TBX2/TBX1/SFRP2/PPP1R13L/FOXH1/BMP4/APLNR,8
GO:0002819,BP,GO:0002819,regulation of adaptive immune response,10/224,198/18903,0.000130310925746405,0.00886210935323291,0.00709999030763843,ZC3H12A/TNF/IL6/IL1RL1/IL18R1/FOXJ1/CR1/CD48/AZGP1/ANXA1,10
GO:0010463,BP,GO:0010463,mesenchymal cell proliferation,5/224,42/18903,0.000132984834232187,0.00886210935323291,0.00709999030763843,TBX2/TBX1/SIX2/SIX1/BMP4,5
GO:0071542,BP,GO:0071542,dopaminergic neuron differentiation,5/224,42/18903,0.000132984834232187,0.00886210935323291,0.00709999030763843,SFRP2/OTP/EN2/DMRTA2/CDNF,5
GO:0030595,BP,GO:0030595,leukocyte chemotaxis,11/224,240/18903,0.000142815728781618,0.00910407790732443,0.00729384645636405,S100A8/S100A12/PPBP/JAML/IL6/CXCR1/CXCL8/CCR7/CCL5/CCL14/ANXA1,11
GO:0045165,BP,GO:0045165,cell fate commitment,12/224,282/18903,0.000143948796098534,0.00910407790732443,0.00729384645636405,TBX5/TBX2/TBX15/TBX1/SIX2/SIX1/SFRP2/IL6/GSX2/EOMES/DMRTA2/BMP4,12
GO:0048706,BP,GO:0048706,embryonic skeletal system development,8/224,128/18903,0.000144989641430692,0.00910407790732443,0.00729384645636405,UCMA/TBX15/TBX1/SIX2/SIX1/MDFI/HOXD1/BMP4,8
GO:0002703,BP,GO:0002703,regulation of leukocyte mediated immunity,11/224,241/18903,0.000148113379726789,0.00910407790732443,0.00729384645636405,TNF/SH2D1A/KLRC4/IL6/IL18R1/FOXJ1/DNASE1L3/CR1/CD96/CD177/AZGP1,11
GO:0030098,BP,GO:0030098,lymphocyte differentiation,15/224,419/18903,0.000150277396429425,0.00910407790732443,0.00729384645636405,ZC3H12A/ZAP70/RORC/LCK/IL6/IL18R1/IFNA13/FOXJ1/EOMES/CR1/CD3E/CD2/CCR7/BMP4/ANXA1,15
GO:0019079,BP,GO:0019079,viral genome replication,8/224,130/18903,0.000161419853192233,0.00927329225580206,0.00742941465872055,ZC3H12A/TNF/SLPI/CXCR6/CXCL8/CCL5/APOBEC3D/APOBEC3A,8
GO:0032612,BP,GO:0032612,interleukin-1 production,8/224,130/18903,0.000161419853192233,0.00927329225580206,0.00742941465872055,ZC3H12A/TNF/PYHIN1/IL6/IL1R2/GBP5/CCR7/ANXA1,8
GO:0032652,BP,GO:0032652,regulation of interleukin-1 production,8/224,130/18903,0.000161419853192233,0.00927329225580206,0.00742941465872055,ZC3H12A/TNF/PYHIN1/IL6/IL1R2/GBP5/CCR7/ANXA1,8
GO:0060706,BP,GO:0060706,cell differentiation involved in embryonic placenta development,4/224,24/18903,0.000169312439656157,0.00940248414890524,0.00753291836785989,MDFI/LIF/KRT19/EOMES,4
GO:0090103,BP,GO:0090103,cochlea morphogenesis,4/224,24/18903,0.000169312439656157,0.00940248414890524,0.00753291836785989,TBX2/TBX1/SIX1/GRHL3,4
GO:0071674,BP,GO:0071674,mononuclear cell migration,10/224,206/18903,0.0001800401619192,0.00983432491007827,0.00787889302203781,ZAP70/TNF/S100A12/JAML/IL6/CXCR1/CCR7/CCL5/CCL14/ANXA1,10
GO:0019722,BP,GO:0019722,calcium-mediated signaling,10/224,208/18903,0.00019470519122842,0.0101594610757609,0.00813937994823076,ZAP70/TNF/SLA2/EFHB/CXCR6/CXCR1/CXCL8/CD3E/CCR7/AGTR1,10
GO:0002287,BP,GO:0002287,alpha-beta T cell activation involved in immune response,6/224,71/18903,0.000195139708538025,0.0101594610757609,0.00813937994823076,ZC3H12A/RORC/IL6/IL18R1/EOMES/ANXA1,6
GO:0002293,BP,GO:0002293,alpha-beta T cell differentiation involved in immune response,6/224,71/18903,0.000195139708538025,0.0101594610757609,0.00813937994823076,ZC3H12A/RORC/IL6/IL18R1/EOMES/ANXA1,6
GO:0019835,BP,GO:0019835,cytolysis,4/224,25/18903,0.000199698711456361,0.0102368631780399,0.00820139161543856,PRF1/GZMH/CR1/C6,4
GO:0048701,BP,GO:0048701,embryonic cranial skeleton morphogenesis,5/224,46/18903,0.000206207110079934,0.010375350465598,0.00831234244669128,TBX15/TBX1/SIX2/SIX1/BMP4,5
GO:0050870,BP,GO:0050870,positive regulation of T cell activation,11/224,251/18903,0.00021095382706974,0.010375350465598,0.00831234244669128,ZAP70/LCK/IL6/IGF2/HLA-DQB2/HLA-DOB/CR1/CD3E/CCR7/CCL5/ANXA1,11
GO:0048562,BP,GO:0048562,embryonic organ morphogenesis,12/224,294/18903,0.000211741846236694,0.010375350465598,0.00831234244669128,USH1C/TBX2/TBX15/TBX1/SIX3/SIX2/SIX1/MDFI/GRHL3/FOXH1/BMP4/APLNR,12
GO:0042098,BP,GO:0042098,T cell proliferation,10/224,212/18903,0.000227063130834191,0.010964845680283,0.00878462394806269,ZAP70/SH2D2A/IL6/IGF2/FOXJ1/CR1/CD3E/CCL5/BMP4/ANXA1,10
GO:1903798,BP,GO:1903798,regulation of miRNA maturation,4/224,26/18903,0.000233826162556741,0.0111301253377009,0.00891703982321646,ZC3H12A/TNF/IL6/BMP4,4
GO:0045060,BP,GO:0045060,negative thymic T cell selection,3/224,11/18903,0.00025253511395277,0.0118513661928258,0.00949487100050742,ZAP70/CD3E/CCR7,3
GO:0002253,BP,GO:0002253,activation of immune response,14/224,397/18903,0.000290559874332791,0.0129494809609641,0.0103746394506239,ZC3H12A/ZAP70/SLA2/SH2D1A/PYHIN1/MASP1/LCK/KLRC4/FCN3/FCN1/CR1/CD3E/CCR7/C6,14
GO:0002706,BP,GO:0002706,regulation of lymphocyte mediated immunity,9/224,179/18903,0.000291801535527528,0.0129494809609641,0.0103746394506239,TNF/SH2D1A/KLRC4/IL6/IL18R1/FOXJ1/CR1/CD96/AZGP1,9
GO:0002699,BP,GO:0002699,positive regulation of immune effector process,11/224,261/18903,0.000295054713031122,0.0129494809609641,0.0103746394506239,TNF/SH2D1A/KLRC4/IL6/IL18R1/FCN3/FCN1/CR1/CD177/AZGP1/ANXA1,11
GO:0009799,BP,GO:0009799,specification of symmetry,8/224,142/18903,0.000295366312434956,0.0129494809609641,0.0103746394506239,TBX2/TBX1/FOXJ1/FOXH1/CFC1B/CFAP45/BMP4/APLNR,8
GO:1903900,BP,GO:1903900,regulation of viral life cycle,8/224,142/18903,0.000295366312434956,0.0129494809609641,0.0103746394506239,TNF/SLPI/FCN3/FCN1/CXCL8/CCL5/APOBEC3D/APOBEC3A,8
GO:0033135,BP,GO:0033135,regulation of peptidyl-serine phosphorylation,8/224,143/18903,0.000309732097596447,0.0132396862803178,0.0106071410901896,TNF/SFRP2/LIF/IL6/IFNA13/CD44/CALCR/ANGPT1,8
GO:0070920,BP,GO:0070920,regulation of production of small RNA involved in gene silencing by RNA,4/224,28/18903,0.000314350860833057,0.0132396862803178,0.0106071410901896,ZC3H12A/TNF/IL6/BMP4,4
GO:0002696,BP,GO:0002696,positive regulation of leukocyte activation,15/224,450/18903,0.00032319054947111,0.0132396862803178,0.0106071410901896,ZAP70/TNF/LCK/IL6/IL1RL1/IGF2/HLA-DQB2/HLA-DOB/CR1/CD3E/CD2/CD177/CCR7/CCL5/ANXA1,15
GO:0002822,BP,GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,9/224,182/18903,0.000329835771331111,0.0132396862803178,0.0106071410901896,ZC3H12A/TNF/IL6/IL1RL1/IL18R1/FOXJ1/CR1/AZGP1/ANXA1,9
GO:0042129,BP,GO:0042129,regulation of T cell proliferation,9/224,182/18903,0.000329835771331111,0.0132396862803178,0.0106071410901896,ZAP70/IL6/IGF2/FOXJ1/CR1/CD3E/CCL5/BMP4/ANXA1,9
GO:0001867,BP,GO:0001867,complement activation, lectin pathway,3/224,12/18903,0.000333773603705492,0.0132396862803178,0.0106071410901896,MASP1/FCN3/FCN1,3
GO:0003337,BP,GO:0003337,mesenchymal to epithelial transition involved in metanephros morphogenesis,3/224,12/18903,0.000333773603705492,0.0132396862803178,0.0106071410901896,SIX2/LIF/BMP4,3
GO:0043383,BP,GO:0043383,negative T cell selection,3/224,12/18903,0.000333773603705492,0.0132396862803178,0.0106071410901896,ZAP70/CD3E/CCR7,3
GO:0002292,BP,GO:0002292,T cell differentiation involved in immune response,6/224,79/18903,0.000350127542862639,0.0137249996802154,0.0109959560210483,ZC3H12A/RORC/IL6/IL18R1/EOMES/ANXA1,6
GO:0051090,BP,GO:0051090,regulation of DNA-binding transcription factor activity,15/224,454/18903,0.000354775590742117,0.0137454914924737,0.011012373294027,ZC3H12A/TNF/SFRP4/S100A8/S100A12/MDFI/IL6/IL18RAP/IL18R1/ID3/HSPA1B/GFI1/FOXJ1/FOXH1/EOMES,15
GO:0003151,BP,GO:0003151,outflow tract morphogenesis,6/224,80/18903,0.000374822086842986,0.0143552550961015,0.0115008930699796,TBX2/TBX1/SIX1/SFRP2/FOXH1/BMP4,6
GO:0070486,BP,GO:0070486,leukocyte aggregation,3/224,13/18903,0.00043011933047591,0.0162858819221106,0.0130476390201783,ZAP70/S100A8/CD44,3
GO:0032103,BP,GO:0032103,positive regulation of response to external stimulus,15/224,464/18903,0.000445591269616288,0.0166821360714772,0.0133651030129735,TNF/SH2D1A/S100A8/S100A12/PYHIN1/KLRC4/IL6/IL1RL1/GBP5/FCN3/FCN1/CXCL8/CCR7/CCL5/AGTR1,15
GO:0072006,BP,GO:0072006,nephron development,8/224,152/18903,0.000466541043421317,0.0172723861853314,0.0138379893113036,SIX2/SIX1/LIF/IRX1/FOXJ1/COL4A3/BMP4/ANGPT1,8
GO:0050867,BP,GO:0050867,positive regulation of cell activation,15/224,467/18903,0.000476451973898573,0.0174454722750555,0.0139766594078286,ZAP70/TNF/LCK/IL6/IL1RL1/IGF2/HLA-DQB2/HLA-DOB/CR1/CD3E/CD2/CD177/CCR7/CCL5/ANXA1,15
GO:0046632,BP,GO:0046632,alpha-beta T cell differentiation,7/224,117/18903,0.000491692543360105,0.0178078212443029,0.0142669598393733,ZC3H12A/ZAP70/RORC/IL6/IL18R1/EOMES/ANXA1,7
GO:2000116,BP,GO:2000116,regulation of cysteine-type endopeptidase activity,10/224,235/18903,0.000513569384478957,0.0183445936842256,0.0146970018270032,VIL1/TNF/ST18/SLC22A2/SFRP2/S100A8/LCK/CST7/COL4A3/CD44,10
GO:0002286,BP,GO:0002286,T cell activation involved in immune response,7/224,118/18903,0.000517524551715847,0.0183445936842256,0.0146970018270032,ZC3H12A/RORC/IL6/IL18R1/IFNA13/EOMES/ANXA1,7
GO:0003338,BP,GO:0003338,metanephros morphogenesis,4/224,32/18903,0.000531993287601292,0.0186589645714474,0.0149488640150346,SIX2/LIF/FOXJ1/BMP4,4
GO:1903131,BP,GO:1903131,mononuclear cell differentiation,15/224,473/18903,0.000543700140544969,0.018870925711415,0.0151186793467329,ZC3H12A/ZAP70/RORC/LCK/IL6/IL18R1/IFNA13/FOXJ1/EOMES/CR1/CD3E/CD2/CCR7/BMP4/ANXA1,15
GO:0045071,BP,GO:0045071,negative regulation of viral genome replication,5/224,57/18903,0.000566799719574915,0.0194698625322022,0.0155985251095169,TNF/SLPI/CCL5/APOBEC3D/APOBEC3A,5
GO:0045069,BP,GO:0045069,regulation of viral genome replication,6/224,87/18903,0.000588117454208084,0.0199959934430749,0.0160200415023813,TNF/SLPI/CXCL8/CCL5/APOBEC3D/APOBEC3A,6
GO:0060795,BP,GO:0060795,cell fate commitment involved in formation of primary germ layer,4/224,33/18903,0.000599790813414573,0.0201868988918925,0.0161729878024387,SIX2/SFRP2/EOMES/BMP4,4
GO:0045620,BP,GO:0045620,negative regulation of lymphocyte differentiation,5/224,58/18903,0.000614358994204556,0.0204704416868958,0.0164001516768711,ZC3H12A/FOXJ1/CR1/BMP4/ANXA1,5
GO:0002698,BP,GO:0002698,negative regulation of immune effector process,7/224,122/18903,0.000631866311941555,0.0206888874916175,0.0165751622792513,ZC3H12A/TNF/FOXJ1/CR1/CD96/ANXA1/ANGPT1,7
GO:0018108,BP,GO:0018108,peptidyl-tyrosine phosphorylation,13/224,380/18903,0.000633333290559719,0.0206888874916175,0.0165751622792513,ZAP70/TNF/SFRP2/MUSK/LIF/LCK/IL6/IGF2/GPRC5A/CD44/CD3E/CCL5/ANGPT1,13
GO:0018212,BP,GO:0018212,peptidyl-tyrosine modification,13/224,382/18903,0.000664910674695464,0.0213375086440717,0.0170948132688968,ZAP70/TNF/SFRP2/MUSK/LIF/LCK/IL6/IGF2/GPRC5A/CD44/CD3E/CCL5/ANGPT1,13
GO:0034116,BP,GO:0034116,positive regulation of heterotypic cell-cell adhesion,3/224,15/18903,0.000672400482481252,0.0213375086440717,0.0170948132688968,TNF/LCK/CD44,3
GO:0072283,BP,GO:0072283,metanephric renal vesicle morphogenesis,3/224,15/18903,0.000672400482481252,0.0213375086440717,0.0170948132688968,SIX2/LIF/BMP4,3
GO:0050792,BP,GO:0050792,regulation of viral process,8/224,162/18903,0.000710673375143808,0.0223392800564073,0.0178973950284479,TNF/SLPI/FCN3/FCN1/CXCL8/CCL5/APOBEC3D/APOBEC3A,8
GO:0060914,BP,GO:0060914,heart formation,4/224,35/18903,0.000753396882355867,0.0233860976241957,0.0187360660816833,TBX5/SIX1/FOXH1/BMP4,4
GO:0032496,BP,GO:0032496,response to lipopolysaccharide,12/224,339/18903,0.000758012768131194,0.0233860976241957,0.0187360660816833,ZC3H12A/TNF/SLPI/S100A8/PPBP/IL6/GFI1/CXCL8/CD96/CCR7/CCL5/ANKRD1,12
GO:0043281,BP,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,9/224,205/18903,0.000779795060409508,0.0238374049659127,0.0190976366315646,VIL1/TNF/ST18/SLC22A2/SFRP2/S100A8/LCK/COL4A3/CD44,9
GO:0050878,BP,GO:0050878,regulation of body fluid levels,13/224,390/18903,0.000804848489696454,0.0243795924333508,0.019532016936557,TSPAN8/SLC22A2/NFE2/MTCO2P12/LCK/IL6/GRHL3/FOXB1/DGKK/CYP4F12/CFTR/APLNR/ADAMTS18,13
GO:1903799,BP,GO:1903799,negative regulation of miRNA maturation,3/224,16/18903,0.000820360473896495,0.0244180759910665,0.0195628485225705,ZC3H12A/TNF/IL6,3
GO:0048732,BP,GO:0048732,gland development,14/224,441/18903,0.000820775663565259,0.0244180759910665,0.0195628485225705,TNF/TBX2/TBX1/SIX3/SIX1/OTP/MTCO2P12/MAN2A1/IL6/IGF2/FOXB1/CRIP1/BMP4/ANXA1,14
GO:0035904,BP,GO:0035904,aorta development,5/224,62/18903,0.000835027652647715,0.0245447589356359,0.0196643421560538,TBX2/TBX1/SIX1/FOXH1/APLNR,5
GO:0035909,BP,GO:0035909,aorta morphogenesis,4/224,36/18903,0.000839766662263655,0.0245447589356359,0.0196643421560538,TBX2/TBX1/SIX1/FOXH1,4
GO:0003205,BP,GO:0003205,cardiac chamber development,8/224,167/18903,0.000866510719098084,0.0250035886856995,0.0200319393779408,TBX5/TBX2/TBX1/SFRP2/PPP1R13L/FOXH1/BMP4/APLNR,8
